phase	case	exit	started	ended	duration_s
training	0.1b_hf_trainer_trl	0	2026-07-21T06:41:05+08:00	2026-07-21T06:41:23+08:00	18
training	0.1b_peft_roundtrip	0	2026-07-21T06:35:27+08:00	2026-07-21T06:35:46+08:00	19
training	0.1b_resume	0	2026-07-21T06:36:27+08:00	2026-07-21T06:36:42+08:00	15
training	0.1b_sft	0	2026-07-21T06:35:46+08:00	2026-07-21T06:36:00+08:00	14
training	0.1b_trainer	0	2026-07-21T06:35:11+08:00	2026-07-21T06:35:27+08:00	16
training	0.4b_dpo	0	2026-07-21T06:37:47+08:00	2026-07-21T06:38:04+08:00	17
training	0.4b_grpo	0	2026-07-21T06:38:05+08:00	2026-07-21T06:38:19+08:00	14
training	0.4b_hf_dpo_grpo	0	2026-07-21T06:42:04+08:00	2026-07-21T06:42:30+08:00	26
training	0.4b_hf_trainer_trl	0	2026-07-21T06:41:43+08:00	2026-07-21T06:42:04+08:00	21
training	0.4b_peft_roundtrip	0	2026-07-21T06:37:05+08:00	2026-07-21T06:37:31+08:00	26
training	0.4b_resume	0	2026-07-21T06:38:19+08:00	2026-07-21T06:38:40+08:00	21
training	0.4b_sft	0	2026-07-21T06:37:31+08:00	2026-07-21T06:37:47+08:00	16
training	0.4b_trainer	0	2026-07-21T06:36:42+08:00	2026-07-21T06:37:05+08:00	23
training	1.5b_dpo	0	2026-07-21T06:39:49+08:00	2026-07-21T06:40:07+08:00	18
training	1.5b_grpo	0	2026-07-21T06:34:45+08:00	2026-07-21T06:35:01+08:00	16
training	1.5b_hf_dpo_grpo	0	2026-07-21T06:42:55+08:00	2026-07-21T06:43:21+08:00	26
training	1.5b_hf_trainer_trl	0	2026-07-21T06:42:30+08:00	2026-07-21T06:42:55+08:00	25
training	1.5b_peft_roundtrip	0	2026-07-21T06:39:02+08:00	2026-07-21T06:39:31+08:00	29
training	1.5b_resume	0	2026-07-21T06:35:01+08:00	2026-07-21T06:35:23+08:00	22
training	1.5b_sft	0	2026-07-21T06:39:31+08:00	2026-07-21T06:39:49+08:00	18
training	1.5b_trainer	0	2026-07-21T06:38:40+08:00	2026-07-21T06:39:02+08:00	22
training	2.9b_dpo	0	2026-07-21T06:36:49+08:00	2026-07-21T06:37:10+08:00	21
training	2.9b_grpo	0	2026-07-21T06:37:10+08:00	2026-07-21T06:37:27+08:00	17
training	2.9b_hf_dpo_grpo	0	2026-07-21T06:43:51+08:00	2026-07-21T06:44:22+08:00	31
training	2.9b_hf_trainer_trl	0	2026-07-21T06:43:21+08:00	2026-07-21T06:43:51+08:00	30
training	2.9b_peft_roundtrip	0	2026-07-21T06:35:49+08:00	2026-07-21T06:36:28+08:00	39
training	2.9b_resume	0	2026-07-21T06:37:27+08:00	2026-07-21T06:37:55+08:00	28
training	2.9b_sft	0	2026-07-21T06:36:28+08:00	2026-07-21T06:36:49+08:00	21
training	2.9b_trainer	0	2026-07-21T06:35:23+08:00	2026-07-21T06:35:49+08:00	26
training	7.2b_dpo	0	2026-07-21T06:39:42+08:00	2026-07-21T06:40:07+08:00	25
training	7.2b_grpo	0	2026-07-21T06:40:07+08:00	2026-07-21T06:40:28+08:00	21
training	7.2b_peft_roundtrip	0	2026-07-21T06:45:33+08:00	2026-07-21T06:46:36+08:00	63
training	7.2b_resume	0	2026-07-21T06:40:28+08:00	2026-07-21T06:41:05+08:00	37
training	7.2b_sft	0	2026-07-21T06:39:17+08:00	2026-07-21T06:39:42+08:00	25
