backend,seed,status,steps_completed,finite,train_loss_auc,validation_loss_auc,final_validation_loss,min_validation_loss,max_grad_norm,runtime_s
official_train_temp,131,pass,1000,True,5.523756025791168,5.473930063701811,4.629395484924316,4.629395484924316,202.0,82.11428184600663
official_train_temp,232,pass,1000,True,5.542997957706452,5.516837914784749,4.655449390411377,4.655449390411377,274.0,82.1735655599914
official_train_temp,333,pass,1000,True,5.562454207420349,5.482217834109352,4.691710948944092,4.691710948944092,216.0,82.25424089300213
hf_native_train_temp_cuda,131,pass,1000,True,5.527890892028808,5.47132226399013,4.626132011413574,4.626132011413574,1304.0,82.19231343299907
hf_native_train_temp_cuda,232,pass,1000,True,5.538652350902558,5.506774834224156,4.665195941925049,4.665195941925049,171.0,82.0026943700068
hf_native_train_temp_cuda,333,pass,1000,True,5.55717533493042,5.476575669788179,4.664083480834961,4.664083480834961,8160.0,82.13341181800934
